date,family,demand,data_type,best_model
2016-01-23,PRODUCE,40632.957,Actual,Historical
2016-01-24,GROCERY I,47918.0,Actual,Historical
2016-01-24,BEVERAGES,51289.0,Actual,Historical
2016-01-24,PRODUCE,43932.997,Actual,Historical
2016-01-25,GROCERY I,32616.0,Actual,Historical
2016-01-25,BEVERAGES,29842.0,Actual,Historical
2016-01-25,PRODUCE,29871.048,Actual,Historical
2016-01-26,GROCERY I,26399.0,Actual,Historical
2016-01-26,BEVERAGES,24106.0,Actual,Historical
2016-01-26,PRODUCE,25010.754,Actual,Historical
2016-01-27,GROCERY I,28594.0,Actual,Historical
2016-01-27,BEVERAGES,26111.0,Actual,Historical
2016-01-27,PRODUCE,41928.649,Actual,Historical
2016-01-28,GROCERY I,24107.0,Actual,Historical
2016-01-28,BEVERAGES,21953.0,Actual,Historical
2016-01-28,PRODUCE,23249.615999999998,Actual,Historical
2016-01-29,GROCERY I,32268.0,Actual,Historical
2016-01-29,BEVERAGES,29890.0,Actual,Historical
2016-01-29,PRODUCE,28417.858,Actual,Historical
2016-01-30,GROCERY I,52408.0,Actual,Historical
2016-01-30,BEVERAGES,48609.0,Actual,Historical
2016-01-30,PRODUCE,41041.183,Actual,Historical
2016-01-31,GROCERY I,59194.0,Actual,Historical
2016-01-31,BEVERAGES,57181.0,Actual,Historical
2016-01-31,PRODUCE,48414.13,Actual,Historical
2016-02-01,GROCERY I,44403.0,Actual,Historical
2016-02-01,BEVERAGES,36225.0,Actual,Historical
2016-02-01,PRODUCE,35175.454,Actual,Historical
2016-02-02,GROCERY I,35051.0,Actual,Historical
2016-02-02,BEVERAGES,28032.0,Actual,Historical
2016-02-02,PRODUCE,26247.269,Actual,Historical
2016-02-03,GROCERY I,36799.0,Actual,Historical
2016-02-03,BEVERAGES,30161.0,Actual,Historical
2016-02-03,PRODUCE,42625.317,Actual,Historical
2016-02-04,GROCERY I,31162.0,Actual,Historical
2016-02-04,BEVERAGES,25213.0,Actual,Historical
2016-02-04,PRODUCE,23359.732,Actual,Historical
2016-02-05,GROCERY I,39806.0,Actual,Historical
2016-02-05,BEVERAGES,37890.0,Actual,Historical
2016-02-05,PRODUCE,32178.982,Actual,Historical
2016-02-06,GROCERY I,50805.0,Actual,Historical
2016-02-06,BEVERAGES,49772.0,Actual,Historical
2016-02-06,PRODUCE,38604.194,Actual,Historical
2016-02-07,GROCERY I,37620.0,Actual,Historical
2016-02-07,BEVERAGES,37955.0,Actual,Historical
2016-02-07,PRODUCE,31572.95,Actual,Historical
2016-02-08,GROCERY I,38616.0,Actual,Historical
2016-02-08,BEVERAGES,35364.0,Actual,Historical
2016-02-08,PRODUCE,31758.309,Actual,Historical
2016-02-09,GROCERY I,46177.0,Actual,Historical
2016-02-09,BEVERAGES,40481.0,Actual,Historical
2016-02-09,PRODUCE,37827.925,Actual,Historical
2016-02-10,GROCERY I,36617.0,Actual,Historical
2016-02-10,BEVERAGES,31792.0,Actual,Historical
2016-02-10,PRODUCE,44765.756,Actual,Historical
2016-02-11,GROCERY I,31322.0,Actual,Historical
2016-02-11,BEVERAGES,26307.0,Actual,Historical
2016-02-11,PRODUCE,25827.856,Actual,Historical
2016-02-12,GROCERY I,35322.0,Actual,Historical
2016-02-12,BEVERAGES,30908.0,Actual,Historical
2016-02-12,PRODUCE,29939.26,Actual,Historical
2016-02-13,GROCERY I,44802.0,Actual,Historical
2016-02-13,BEVERAGES,41982.0,Actual,Historical
2016-02-13,PRODUCE,37835.572,Actual,Historical
2016-02-14,GROCERY I,50429.0,Actual,Historical
2016-02-14,BEVERAGES,51026.0,Actual,Historical
2016-02-14,PRODUCE,42566.816,Actual,Historical
2016-02-15,GROCERY I,36050.0,Actual,Historical
2016-02-15,BEVERAGES,34040.0,Actual,Historical
2016-02-15,PRODUCE,33022.992,Actual,Historical
2016-02-16,GROCERY I,35084.0,Actual,Historical
2016-02-16,BEVERAGES,30417.0,Actual,Historical
2016-02-16,PRODUCE,29050.667,Actual,Historical
2016-02-17,GROCERY I,36495.0,Actual,Historical
2016-02-17,BEVERAGES,30798.0,Actual,Historical
2016-02-17,PRODUCE,45772.398,Actual,Historical
2016-02-18,GROCERY I,25385.0,Actual,Historical
2016-02-18,BEVERAGES,23029.0,Actual,Historical
2016-02-18,PRODUCE,23084.494,Actual,Historical
2016-02-19,GROCERY I,34781.0,Actual,Historical
2016-02-19,BEVERAGES,32355.0,Actual,Historical
2016-02-19,PRODUCE,30511.061999999998,Actual,Historical
2016-02-20,GROCERY I,46304.0,Actual,Historical
2016-02-20,BEVERAGES,47745.0,Actual,Historical
2016-02-20,PRODUCE,39272.135,Actual,Historical
2016-02-21,GROCERY I,55573.0,Actual,Historical
2016-02-21,BEVERAGES,56823.0,Actual,Historical
2016-02-21,PRODUCE,47034.466,Actual,Historical
2016-02-22,GROCERY I,34333.0,Actual,Historical
2016-02-22,BEVERAGES,31508.0,Actual,Historical
2016-02-22,PRODUCE,30620.851,Actual,Historical
2016-02-23,GROCERY I,29163.0,Actual,Historical
2016-02-23,BEVERAGES,25311.0,Actual,Historical
2016-02-23,PRODUCE,23315.676,Actual,Historical
2016-02-24,GROCERY I,32552.0,Actual,Historical
2016-02-24,BEVERAGES,29477.0,Actual,Historical
2016-02-24,PRODUCE,41807.578,Actual,Historical
2016-02-25,GROCERY I,27276.0,Actual,Historical
2016-02-25,BEVERAGES,23326.0,Actual,Historical
2016-02-25,PRODUCE,22721.186,Actual,Historical
2016-02-26,GROCERY I,32460.0,Actual,Historical
2016-02-26,BEVERAGES,31023.0,Actual,Historical
2016-02-26,PRODUCE,29298.416,Actual,Historical
2016-02-27,GROCERY I,48284.0,Actual,Historical
2016-02-27,BEVERAGES,48153.0,Actual,Historical
2016-02-27,PRODUCE,40615.458,Actual,Historical
2016-02-28,GROCERY I,56665.0,Actual,Historical
2016-02-28,BEVERAGES,56400.0,Actual,Historical
2016-02-28,PRODUCE,46416.604,Actual,Historical
2016-02-29,GROCERY I,36333.0,Actual,Historical
2016-02-29,BEVERAGES,31858.0,Actual,Historical
2016-02-29,PRODUCE,30045.612,Actual,Historical
2016-03-01,GROCERY I,44565.0,Actual,Historical
2016-03-01,BEVERAGES,35886.0,Actual,Historical
2016-03-01,PRODUCE,31322.52,Actual,Historical
2016-03-02,GROCERY I,43765.0,Actual,Historical
2016-03-02,BEVERAGES,35955.0,Actual,Historical
2016-03-02,PRODUCE,45829.508,Actual,Historical
2016-03-03,GROCERY I,33272.0,Actual,Historical
2016-03-03,BEVERAGES,25926.0,Actual,Historical
2016-03-03,PRODUCE,24295.161,Actual,Historical
2016-03-04,GROCERY I,39595.0,Actual,Historical
2016-03-04,BEVERAGES,34534.0,Actual,Historical
2016-03-04,PRODUCE,31432.36,Actual,Historical
2016-03-05,GROCERY I,57197.0,Actual,Historical
2016-03-05,BEVERAGES,51440.0,Actual,Historical
2016-03-05,PRODUCE,42396.589,Actual,Historical
2016-03-06,GROCERY I,62238.0,Actual,Historical
2016-03-06,BEVERAGES,58059.0,Actual,Historical
2016-03-06,PRODUCE,47300.05,Actual,Historical
2016-03-07,GROCERY I,38341.0,Actual,Historical
2016-03-07,BEVERAGES,30325.0,Actual,Historical
2016-03-07,PRODUCE,29094.35,Actual,Historical
2016-03-08,GROCERY I,31475.0,Actual,Historical
2016-03-08,BEVERAGES,26413.0,Actual,Historical
2016-03-08,PRODUCE,24119.169,Actual,Historical
2016-03-09,GROCERY I,33675.0,Actual,Historical
2016-03-09,BEVERAGES,28883.0,Actual,Historical
2016-03-09,PRODUCE,43078.768,Actual,Historical
2016-03-10,GROCERY I,27301.0,Actual,Historical
2016-03-10,BEVERAGES,23588.0,Actual,Historical
2016-03-10,PRODUCE,23311.35,Actual,Historical
2016-03-11,GROCERY I,35185.0,Actual,Historical
2016-03-11,BEVERAGES,31956.0,Actual,Historical
2016-03-11,PRODUCE,30266.513,Actual,Historical
2016-03-12,GROCERY I,49074.0,Actual,Historical
2016-03-12,BEVERAGES,47096.0,Actual,Historical
2016-03-12,PRODUCE,38883.673,Actual,Historical
2016-03-13,GROCERY I,53719.0,Actual,Historical
2016-03-13,BEVERAGES,51695.0,Actual,Historical
2016-03-13,PRODUCE,42269.185,Actual,Historical
2016-03-14,GROCERY I,32766.0,Actual,Historical
2016-03-14,BEVERAGES,29160.0,Actual,Historical
2016-03-14,PRODUCE,30071.059,Actual,Historical
2016-03-15,GROCERY I,30319.0,Actual,Historical
2016-03-15,BEVERAGES,26038.0,Actual,Historical
2016-03-15,PRODUCE,25889.662,Actual,Historical
2016-03-16,GROCERY I,36682.0,Actual,Historical
2016-03-16,BEVERAGES,32629.0,Actual,Historical
2016-03-16,PRODUCE,46325.591,Actual,Historical
2016-03-17,GROCERY I,28409.0,Actual,Historical
2016-03-17,BEVERAGES,24270.0,Actual,Historical
2016-03-17,PRODUCE,24118.357,Actual,Historical
2016-03-18,GROCERY I,35227.0,Actual,Historical
2016-03-18,BEVERAGES,33153.0,Actual,Historical
2016-03-18,PRODUCE,30061.407,Actual,Historical
2016-03-19,GROCERY I,46868.0,Actual,Historical
2016-03-19,BEVERAGES,46886.0,Actual,Historical
2016-03-19,PRODUCE,38334.602,Actual,Historical
2016-03-20,GROCERY I,50284.0,Actual,Historical
2016-03-20,BEVERAGES,50532.0,Actual,Historical
2016-03-20,PRODUCE,41812.093,Actual,Historical
2016-03-21,GROCERY I,33558.0,Actual,Historical
2016-03-21,BEVERAGES,29859.0,Actual,Historical
2016-03-21,PRODUCE,30124.106,Actual,Historical
2016-03-22,GROCERY I,28303.0,Actual,Historical
2016-03-22,BEVERAGES,25926.0,Actual,Historical
2016-03-22,PRODUCE,24740.835,Actual,Historical
2016-03-23,GROCERY I,35830.0,Actual,Historical
2016-03-23,BEVERAGES,33117.0,Actual,Historical
2016-03-23,PRODUCE,42803.152,Actual,Historical
2016-03-24,GROCERY I,29468.0,Actual,Historical
2016-03-24,BEVERAGES,29585.0,Actual,Historical
2016-03-24,PRODUCE,25955.599,Actual,Historical
2016-03-25,GROCERY I,35280.0,Actual,Historical
2016-03-25,BEVERAGES,37756.0,Actual,Historical
2016-03-25,PRODUCE,29695.063,Actual,Historical
2016-03-26,GROCERY I,44224.0,Actual,Historical
2016-03-26,BEVERAGES,43541.0,Actual,Historical
2016-03-26,PRODUCE,35082.79,Actual,Historical
2016-03-27,GROCERY I,45944.0,Actual,Historical
2016-03-27,BEVERAGES,46472.0,Actual,Historical
2016-03-27,PRODUCE,38880.863,Actual,Historical
2016-03-28,GROCERY I,32621.0,Actual,Historical
2016-03-28,BEVERAGES,29516.0,Actual,Historical
2016-03-28,PRODUCE,30099.109,Actual,Historical
2016-03-29,GROCERY I,27146.0,Actual,Historical
2016-03-29,BEVERAGES,24839.0,Actual,Historical
2016-03-29,PRODUCE,25453.748,Actual,Historical
2016-03-30,GROCERY I,31383.0,Actual,Historical
2016-03-30,BEVERAGES,27319.0,Actual,Historical
2016-03-30,PRODUCE,40557.238,Actual,Historical
2016-03-31,GROCERY I,29929.0,Actual,Historical
2016-03-31,BEVERAGES,25468.0,Actual,Historical
2016-03-31,PRODUCE,25625.969,Actual,Historical
2016-04-01,GROCERY I,47610.0,Actual,Historical
2016-04-01,BEVERAGES,39469.0,Actual,Historical
2016-04-01,PRODUCE,33308.957,Actual,Historical
2016-04-02,GROCERY I,66178.0,Actual,Historical
2016-04-02,BEVERAGES,56972.0,Actual,Historical
2016-04-02,PRODUCE,44713.458,Actual,Historical
2016-04-03,GROCERY I,75582.0,Actual,Historical
2016-04-03,BEVERAGES,65901.0,Actual,Historical
2016-04-03,PRODUCE,54276.348,Actual,Historical
2016-04-04,GROCERY I,41342.0,Actual,Historical
2016-04-04,BEVERAGES,33983.0,Actual,Historical
2016-04-04,PRODUCE,30889.317,Actual,Historical
2016-04-05,GROCERY I,34696.0,Actual,Historical
2016-04-05,BEVERAGES,27011.0,Actual,Historical
2016-04-05,PRODUCE,26657.412,Actual,Historical
2016-04-06,GROCERY I,35016.0,Actual,Historical
2016-04-06,BEVERAGES,29592.0,Actual,Historical
2016-04-06,PRODUCE,42413.03,Actual,Historical
2016-04-07,GROCERY I,28592.0,Actual,Historical
2016-04-07,BEVERAGES,23698.0,Actual,Historical
2016-04-07,PRODUCE,22679.754,Actual,Historical
2016-04-08,GROCERY I,36599.0,Actual,Historical
2016-04-08,BEVERAGES,34954.0,Actual,Historical
2016-04-08,PRODUCE,28563.671,Actual,Historical
2016-04-09,GROCERY I,51304.0,Actual,Historical
2016-04-09,BEVERAGES,51324.0,Actual,Historical
2016-04-09,PRODUCE,37468.45,Actual,Historical
2016-04-10,GROCERY I,60449.0,Actual,Historical
2016-04-10,BEVERAGES,60729.0,Actual,Historical
2016-04-10,PRODUCE,45005.969,Actual,Historical
2016-04-11,GROCERY I,35007.0,Actual,Historical
2016-04-11,BEVERAGES,31432.0,Actual,Historical
2016-04-11,PRODUCE,27817.406,Actual,Historical
2016-04-12,GROCERY I,32960.0,Actual,Historical
2016-04-12,BEVERAGES,28124.0,Actual,Historical
2016-04-12,PRODUCE,23765.597,Actual,Historical
2016-04-13,GROCERY I,34349.0,Actual,Historical
2016-04-13,BEVERAGES,29990.0,Actual,Historical
2016-04-13,PRODUCE,39291.582,Actual,Historical
2016-04-14,GROCERY I,27381.0,Actual,Historical
2016-04-14,BEVERAGES,23333.0,Actual,Historical
2016-04-14,PRODUCE,22026.934,Actual,Historical
2016-04-15,GROCERY I,35691.0,Actual,Historical
2016-04-15,BEVERAGES,30583.0,Actual,Historical
2016-04-15,PRODUCE,28071.427,Actual,Historical
2016-04-16,GROCERY I,44600.0,Actual,Historical
2016-04-16,BEVERAGES,40757.0,Actual,Historical
2016-04-16,PRODUCE,34525.555,Actual,Historical
2016-04-17,GROCERY I,88093.0,Actual,Historical
2016-04-17,BEVERAGES,69859.0,Actual,Historical
2016-04-17,PRODUCE,41383.698,Actual,Historical
2016-04-18,GROCERY I,147088.0,Actual,Historical
2016-04-18,BEVERAGES,61893.0,Actual,Historical
2016-04-18,PRODUCE,29378.258,Actual,Historical
2016-04-19,GROCERY I,71103.0,Actual,Historical
2016-04-19,BEVERAGES,57372.0,Actual,Historical
2016-04-19,PRODUCE,24484.007,Actual,Historical
2016-04-20,GROCERY I,63091.0,Actual,Historical
2016-04-20,BEVERAGES,48976.0,Actual,Historical
2016-04-20,PRODUCE,39856.125,Actual,Historical
2016-04-21,GROCERY I,91563.0,Actual,Historical
2016-04-21,BEVERAGES,36650.0,Actual,Historical
2016-04-21,PRODUCE,22171.506,Actual,Historical
2016-04-22,GROCERY I,46040.0,Actual,Historical
2016-04-22,BEVERAGES,35914.0,Actual,Historical
2016-04-22,PRODUCE,26977.81,Actual,Historical
2016-04-23,GROCERY I,56400.0,Actual,Historical
2016-04-23,BEVERAGES,50503.0,Actual,Historical
2016-04-23,PRODUCE,35969.976,Actual,Historical
2016-04-24,GROCERY I,58598.0,Actual,Historical
2016-04-24,BEVERAGES,54466.0,Actual,Historical
2016-04-24,PRODUCE,39124.205,Actual,Historical
2016-04-25,GROCERY I,35332.0,Actual,Historical
2016-04-25,BEVERAGES,29037.0,Actual,Historical
2016-04-25,PRODUCE,25713.76,Actual,Historical
2016-04-26,GROCERY I,30546.0,Actual,Historical
2016-04-26,BEVERAGES,24990.0,Actual,Historical
2016-04-26,PRODUCE,22240.806,Actual,Historical
2016-04-27,GROCERY I,34082.0,Actual,Historical
2016-04-27,BEVERAGES,28915.0,Actual,Historical
2016-04-27,PRODUCE,39338.905,Actual,Historical
2016-04-28,GROCERY I,26148.0,Actual,Historical
2016-04-28,BEVERAGES,21636.0,Actual,Historical
2016-04-28,PRODUCE,19850.913,Actual,Historical
2016-04-29,GROCERY I,40847.0,Actual,Historical
2016-04-29,BEVERAGES,31729.0,Actual,Historical
2016-04-29,PRODUCE,27969.264,Actual,Historical
2016-04-30,GROCERY I,62923.0,Actual,Historical
2016-04-30,BEVERAGES,51195.0,Actual,Historical
2016-04-30,PRODUCE,37807.178,Actual,Historical
2016-05-01,GROCERY I,72596.0,Actual,Historical
2016-05-01,BEVERAGES,62883.0,Actual,Historical
2016-05-01,PRODUCE,47131.103,Actual,Historical
2016-05-02,GROCERY I,43756.0,Actual,Historical
2016-05-02,BEVERAGES,34488.0,Actual,Historical
2016-05-02,PRODUCE,31078.961,Actual,Historical
2016-05-03,GROCERY I,36899.0,Actual,Historical
2016-05-03,BEVERAGES,28558.0,Actual,Historical
2016-05-03,PRODUCE,24704.107,Actual,Historical
2016-05-04,GROCERY I,39140.0,Actual,Historical
2016-05-04,BEVERAGES,30699.0,Actual,Historical
2016-05-04,PRODUCE,43413.846,Actual,Historical
2016-05-05,GROCERY I,30968.0,Actual,Historical
2016-05-05,BEVERAGES,24306.0,Actual,Historical
2016-05-05,PRODUCE,22906.099,Actual,Historical
2016-05-06,GROCERY I,39517.0,Actual,Historical
2016-05-06,BEVERAGES,32450.0,Actual,Historical
2016-05-06,PRODUCE,32090.772,Actual,Historical
2016-05-07,GROCERY I,56479.0,Actual,Historical
2016-05-07,BEVERAGES,49277.0,Actual,Historical
2016-05-07,PRODUCE,44780.479,Actual,Historical
2016-05-08,GROCERY I,38391.0,Actual,Historical
2016-05-08,BEVERAGES,35567.0,Actual,Historical
2016-05-08,PRODUCE,28766.575,Actual,Historical
2016-05-09,GROCERY I,36140.0,Actual,Historical
2016-05-09,BEVERAGES,30645.0,Actual,Historical
2016-05-09,PRODUCE,28963.849,Actual,Historical
2016-05-10,GROCERY I,30954.0,Actual,Historical
2016-05-10,BEVERAGES,24565.0,Actual,Historical
2016-05-10,PRODUCE,22640.883,Actual,Historical
2016-05-11,GROCERY I,34256.0,Actual,Historical
2016-05-11,BEVERAGES,28108.0,Actual,Historical
2016-05-11,PRODUCE,41962.047,Actual,Historical
2016-05-12,GROCERY I,27229.0,Actual,Historical
2016-05-12,BEVERAGES,22307.0,Actual,Historical
2016-05-12,PRODUCE,22847.248,Actual,Historical
2016-05-13,GROCERY I,34564.0,Actual,Historical
2016-05-13,BEVERAGES,29854.0,Actual,Historical
2016-05-13,PRODUCE,28292.914,Actual,Historical
2016-05-14,GROCERY I,47842.0,Actual,Historical
2016-05-14,BEVERAGES,44371.0,Actual,Historical
2016-05-14,PRODUCE,36949.951,Actual,Historical
2016-05-15,GROCERY I,55454.0,Actual,Historical
2016-05-15,BEVERAGES,53267.0,Actual,Historical
2016-05-15,PRODUCE,42699.618,Actual,Historical
2016-05-16,GROCERY I,35963.0,Actual,Historical
2016-05-16,BEVERAGES,30211.0,Actual,Historical
2016-05-16,PRODUCE,29954.29,Actual,Historical
2016-05-17,GROCERY I,29270.0,Actual,Historical
2016-05-17,BEVERAGES,24220.0,Actual,Historical
2016-05-17,PRODUCE,24403.467,Actual,Historical
2016-05-18,GROCERY I,33597.0,Actual,Historical
2016-05-18,BEVERAGES,27940.0,Actual,Historical
2016-05-18,PRODUCE,39594.0,Actual,Historical
2016-05-19,GROCERY I,26806.0,Actual,Historical
2016-05-19,BEVERAGES,22789.0,Actual,Historical
2016-05-19,PRODUCE,23368.721,Actual,Historical
2016-05-20,GROCERY I,36468.0,Actual,Historical
2016-05-20,BEVERAGES,30700.0,Actual,Historical
2016-05-20,PRODUCE,29597.507,Actual,Historical
2016-05-21,GROCERY I,45793.0,Actual,Historical
2016-05-21,BEVERAGES,41976.0,Actual,Historical
2016-05-21,PRODUCE,36626.488,Actual,Historical
2016-05-22,GROCERY I,51760.0,Actual,Historical
2016-05-22,BEVERAGES,48507.0,Actual,Historical
2016-05-22,PRODUCE,41859.16,Actual,Historical
2016-05-23,GROCERY I,34031.0,Actual,Historical
2016-05-23,BEVERAGES,29078.0,Actual,Historical
2016-05-23,PRODUCE,27722.043,Actual,Historical
2016-05-24,GROCERY I,27277.0,Actual,Historical
2016-05-24,BEVERAGES,21777.0,Actual,Historical
2016-05-24,PRODUCE,21909.048,Actual,Historical
2016-05-25,GROCERY I,32733.0,Actual,Historical
2016-05-25,BEVERAGES,26577.0,Actual,Historical
2016-05-25,PRODUCE,39493.167,Actual,Historical
2016-05-26,GROCERY I,29558.0,Actual,Historical
2016-05-26,BEVERAGES,24959.0,Actual,Historical
2016-05-26,PRODUCE,24414.505,Actual,Historical
2016-05-27,GROCERY I,50697.0,Actual,Historical
2016-05-27,BEVERAGES,43627.0,Actual,Historical
2016-05-27,PRODUCE,38226.774,Actual,Historical
2016-05-28,GROCERY I,44973.0,Actual,Historical
2016-05-28,BEVERAGES,37489.0,Actual,Historical
2016-05-28,PRODUCE,32707.415,Actual,Historical
2016-05-29,GROCERY I,53892.0,Actual,Historical
2016-05-29,BEVERAGES,46580.0,Actual,Historical
2016-05-29,PRODUCE,38958.191,Actual,Historical
2016-05-30,GROCERY I,40028.0,Actual,Historical
2016-05-30,BEVERAGES,31504.0,Actual,Historical
2016-05-30,PRODUCE,30491.564,Actual,Historical
2016-05-31,GROCERY I,55824.0,Actual,Historical
2016-05-31,BEVERAGES,38184.0,Actual,Historical
2016-05-31,PRODUCE,30132.068,Actual,Historical
2016-06-01,GROCERY I,41595.0,Actual,Historical
2016-06-01,BEVERAGES,29384.0,Actual,Historical
2016-06-01,PRODUCE,42022.034,Actual,Historical
2016-06-02,GROCERY I,33706.0,Actual,Historical
2016-06-02,BEVERAGES,24221.0,Actual,Historical
2016-06-02,PRODUCE,24722.623,Actual,Historical
2016-06-03,GROCERY I,40449.0,Actual,Historical
2016-06-03,BEVERAGES,28670.0,Actual,Historical
2016-06-03,PRODUCE,28463.204,Actual,Historical
2016-06-04,GROCERY I,54248.0,Actual,Historical
2016-06-04,BEVERAGES,42259.0,Actual,Historical
2016-06-04,PRODUCE,37240.092,Actual,Historical
2016-06-05,GROCERY I,61090.0,Actual,Historical
2016-06-05,BEVERAGES,50838.0,Actual,Historical
2016-06-05,PRODUCE,43482.56,Actual,Historical
2016-06-06,GROCERY I,39588.0,Actual,Historical
2016-06-06,BEVERAGES,29850.0,Actual,Historical
2016-06-06,PRODUCE,29711.337,Actual,Historical
2016-06-07,GROCERY I,31859.0,Actual,Historical
2016-06-07,BEVERAGES,23957.0,Actual,Historical
2016-06-07,PRODUCE,23903.463,Actual,Historical
2016-06-08,GROCERY I,35479.0,Actual,Historical
2016-06-08,BEVERAGES,26273.0,Actual,Historical
2016-06-08,PRODUCE,38914.823,Actual,Historical
2016-06-09,GROCERY I,25983.0,Actual,Historical
2016-06-09,BEVERAGES,20924.0,Actual,Historical
2016-06-09,PRODUCE,21647.238,Actual,Historical
2016-06-10,GROCERY I,35064.0,Actual,Historical
2016-06-10,BEVERAGES,28232.0,Actual,Historical
2016-06-10,PRODUCE,26611.405,Actual,Historical
2016-06-11,GROCERY I,43513.0,Actual,Historical
2016-06-11,BEVERAGES,39309.0,Actual,Historical
2016-06-11,PRODUCE,32855.534,Actual,Historical
2016-06-12,GROCERY I,48638.0,Actual,Historical
2016-06-12,BEVERAGES,45064.0,Actual,Historical
2016-06-12,PRODUCE,37968.406,Actual,Historical
2016-06-13,GROCERY I,34519.0,Actual,Historical
2016-06-13,BEVERAGES,28503.0,Actual,Historical
2016-06-13,PRODUCE,28578.628,Actual,Historical
2016-06-14,GROCERY I,28258.0,Actual,Historical
2016-06-14,BEVERAGES,22550.0,Actual,Historical
2016-06-14,PRODUCE,21938.06,Actual,Historical
2016-06-15,GROCERY I,33896.0,Actual,Historical
2016-06-15,BEVERAGES,26773.0,Actual,Historical
2016-06-15,PRODUCE,40638.563,Actual,Historical
2016-06-16,GROCERY I,29740.0,Actual,Historical
2016-06-16,BEVERAGES,23231.0,Actual,Historical
2016-06-16,PRODUCE,22578.02,Actual,Historical
2016-06-17,GROCERY I,37387.0,Actual,Historical
2016-06-17,BEVERAGES,31276.0,Actual,Historical
2016-06-17,PRODUCE,31145.302,Actual,Historical
2016-06-18,GROCERY I,52381.0,Actual,Historical
2016-06-18,BEVERAGES,46952.0,Actual,Historical
2016-06-18,PRODUCE,42260.863,Actual,Historical
