store_nbr,item_nbr,family,total_demand,average_daily_demand,demand_std,active_sales_days,sales_frequency,coefficient_of_variation,abc_class,safety_stock,reorder_point,replenishment_risk
47,2013931,BEVERAGES,20688.0,103.96,287.01,199,0.3361,2.7607733743747596,A,1252.94,1980.66,High Risk
45,2027559,BEVERAGES,15242.0,96.47,298.76,158,0.2669,3.0969213226909917,A,1304.25,1979.53,High Risk
47,1463810,BEVERAGES,58686.0,156.08,200.67,376,0.6351,1.2856868272680675,A,876.03,1968.58,High Risk
44,2027559,BEVERAGES,12098.0,78.56,313.68,154,0.2601,3.9928716904276986,A,1369.36,1919.27,High Risk
47,1309297,BEVERAGES,74435.0,147.1,191.57,506,0.8547,1.30231135282121,A,836.31,1866.04,High Risk
44,1309297,BEVERAGES,74201.0,144.92,176.39,512,0.8649,1.2171542920231853,A,770.04,1784.5,High Risk
47,2060910,BEVERAGES,7800.0,114.71,224.58,68,0.1149,1.9578066428384624,A,980.42,1783.36,High Risk
47,856688,GROCERY I,5081.0,149.44,162.68,34,0.0574,1.0885974304068524,A,710.17,1756.26,High Risk
45,1503847,PRODUCE,77313.46399999999,131.71,182.72,587,0.9916,1.3872902589021334,A,797.66,1719.63,High Risk
47,2027559,BEVERAGES,15120.0,92.76,237.31,163,0.2753,2.5583225528244933,A,1035.96,1685.28,High Risk
45,364606,GROCERY I,67614.0,114.6,165.07,590,0.9966,1.4404013961605584,A,720.6,1522.8,High Risk
45,2058764,BEVERAGES,9776.0,88.87,201.68,110,0.1858,2.269382243726792,A,880.41,1502.52,High Risk
45,929627,GROCERY I,12926.0,22.02,284.79,587,0.9916,12.93324250681199,A,1243.25,1397.39,High Risk
45,1924662,CLEANING,7290.0,93.46,161.57,78,0.1318,1.7287609672587203,A,705.33,1359.56,High Risk
47,1047793,BEVERAGES,8127.0,68.87,191.0,118,0.1993,2.773341077392188,A,833.79,1315.9,High Risk
45,1157329,GROCERY I,37738.0,63.96,197.73,590,0.9966,3.091463414634146,A,863.18,1310.92,High Risk
47,906979,BEVERAGES,16855.0,31.5,248.86,535,0.9037,7.900317460317461,A,1086.39,1306.92,High Risk
44,1074327,BEVERAGES,47951.0,105.62,129.47,454,0.7669,1.2258095057754212,A,565.2,1304.54,High Risk
44,1037857,BEVERAGES,53947.0,94.15,131.12,573,0.9679,1.3926712692511949,A,572.39,1231.43,High Risk
45,1047690,BEVERAGES,58976.0,102.92,105.35,573,0.9679,1.023610571317528,A,459.88,1180.36,High Risk
44,1428328,BEVERAGES,54958.0,93.15,113.5,590,0.9966,1.2184648416532473,A,495.48,1147.53,High Risk
49,2027559,BEVERAGES,11444.0,67.32,154.53,170,0.2872,2.295454545454546,A,674.59,1145.81,High Risk
45,2058895,BEVERAGES,6819.0,66.2,155.62,103,0.174,2.3507552870090636,A,679.35,1142.78,High Risk
47,2061033,BEVERAGES,5895.0,86.69,116.17,68,0.1149,1.340062290921675,A,507.15,1113.99,High Risk
47,1157329,GROCERY I,35325.0,60.08,137.65,588,0.9932,2.2911118508655126,A,600.93,1021.46,High Risk
45,564534,GROCERY I,31361.0,53.24,147.54,589,0.9949,2.7712246431254695,A,644.09,1016.8,High Risk
44,257847,BEVERAGES,31263.0,59.32,134.25,527,0.8902,2.2631490222521915,A,586.05,1001.31,High Risk
47,699686,MEATS,45715.61,81.06,99.11,564,0.9527,1.2226745620528003,A,432.64,1000.04,High Risk
44,265559,GROCERY I,43447.0,74.65,104.36,582,0.9831,1.3979906229068988,A,455.57,978.13,High Risk
45,2011328,GROCERY I,11585.0,19.87,189.91,583,0.9848,9.557624559637643,A,829.04,968.14,High Risk
45,170791,GROCERY I,36465.0,64.2,117.17,568,0.9595,1.8250778816199376,A,511.49,960.88,High Risk
47,464374,BEVERAGES,45989.0,79.02,90.93,582,0.9831,1.1507213363705393,A,396.96,950.1,High Risk
44,1964739,BEVERAGES,33016.0,79.37,82.82,416,0.7027,1.0434673050270882,A,361.53,917.09,High Risk
47,2054580,BEVERAGES,5415.0,48.35,128.94,112,0.1892,2.6668045501551187,A,562.9,901.33,High Risk
49,1109116,BEVERAGES,37114.0,64.32,102.08,577,0.9747,1.5870646766169156,A,445.65,895.91,High Risk
47,1239876,POULTRY,29520.533,66.04,97.9,447,0.7551,1.4824348879466989,A,427.36,889.65,High Risk
45,1114566,BEVERAGES,28767.0,55.21,114.91,521,0.8801,2.08132584676689,A,501.66,888.16,High Risk
44,906979,BEVERAGES,24659.0,45.0,127.0,548,0.9257,2.8222222222222224,A,554.4,869.39,High Risk
25,418235,BEVERAGES,36829.0,73.81,79.73,499,0.8429,1.0802059341552634,A,348.04,864.68,High Risk
47,1964739,BEVERAGES,28558.0,70.51,83.01,405,0.6841,1.1772798184654658,A,362.39,855.99,High Risk
44,1166474,BEVERAGES,32497.0,56.22,102.62,578,0.9764,1.825329064389897,A,447.97,841.54,High Risk
45,370042,GROCERY I,27003.0,47.88,110.51,564,0.9527,2.308061821219716,A,482.44,817.59,High Risk
44,716250,BEVERAGES,31672.0,58.01,90.11,546,0.9223,1.553352870194794,A,393.38,799.43,High Risk
45,554143,GROCERY I,24418.0,41.74,115.11,585,0.9882,2.7577862961188306,A,502.51,794.69,High Risk
47,1964810,BEVERAGES,17431.0,40.07,112.18,435,0.7348,2.79960069877714,A,489.74,770.24,High Risk
47,633735,MEATS,15946.997,61.57,74.19,259,0.4375,1.204969952899139,A,323.9,754.9,High Risk
25,1463810,BEVERAGES,18240.0,57.9,74.28,315,0.5321,1.282901554404145,A,324.25,729.58,High Risk
44,559870,GROCERY I,32749.0,55.6,76.67,589,0.9949,1.3789568345323742,A,334.68,723.89,High Risk
44,2028810,BEVERAGES,9326.0,43.38,95.61,215,0.3632,2.2040110650069153,A,417.4,721.03,High Risk
45,207857,GROCERY I,7929.0,13.65,138.82,581,0.9814,10.16996336996337,A,606.01,701.54,High Risk
47,261053,GROCERY I,34646.0,58.82,64.8,589,0.9949,1.101666099965998,A,282.9,694.65,High Risk
45,305079,GROCERY I,16251.0,31.8,107.9,511,0.8632,3.3930817610062896,A,471.02,693.63,High Risk
47,938566,GROCERY I,18398.0,32.05,104.67,574,0.9696,3.2658346333853356,A,456.95,681.32,High Risk
45,1976260,BEVERAGES,10167.0,27.18,111.04,374,0.6318,4.085356880058867,A,484.76,675.05,High Risk
25,1047679,BEVERAGES,30039.0,57.44,62.02,523,0.8834,1.0797353760445683,A,270.75,672.81,High Risk
47,940664,BEVERAGES,7866.0,18.42,118.17,427,0.7213,6.415309446254071,A,515.87,644.82,High Risk
49,584246,MEATS,20935.073,44.83,75.34,467,0.7889,1.680571046174437,A,328.89,642.69,High Risk
44,1166475,BEVERAGES,27685.0,49.0,68.57,565,0.9544,1.3993877551020406,A,299.36,642.36,High Risk
45,1464027,BEVERAGES,12660.0,26.6,103.37,476,0.8041,3.8860902255639096,A,451.26,637.44,High Risk
45,115611,GROCERY I,10227.0,22.09,108.72,463,0.7821,4.921684019918515,A,474.62,629.24,High Risk
25,1463814,BEVERAGES,18047.0,52.01,56.45,347,0.5861,1.0853681984233803,A,246.45,610.51,High Risk
44,1464027,BEVERAGES,12564.0,25.85,97.8,486,0.8209,3.7833655705996128,A,426.94,607.9,High Risk
44,261052,GROCERY I,30533.0,51.75,56.02,590,0.9966,1.0825120772946861,A,244.53,606.79,High Risk
45,876663,GROCERY I,14242.0,24.43,99.63,583,0.9848,4.07818256242325,A,434.93,605.93,High Risk
47,410257,GROCERY I,25144.0,42.62,70.23,590,0.9966,1.6478179258564056,A,306.57,604.89,High Risk
47,1161571,GROCERY I,30849.0,52.29,53.14,590,0.9966,1.016255498183209,A,231.99,597.99,High Risk
25,2061404,BEVERAGES,5711.0,41.69,67.5,137,0.2314,1.6190933077476615,A,294.68,586.49,High Risk
44,315176,BEVERAGES,26971.0,45.79,56.61,589,0.9949,1.2362961345271894,A,247.11,567.65,High Risk
47,2028810,BEVERAGES,8198.0,41.2,61.46,199,0.3361,1.4917475728155338,A,268.31,556.68,High Risk
45,155600,GROCERY I,6167.0,10.9,109.82,566,0.9561,10.075229357798165,A,479.42,555.69,High Risk
47,1464029,BEVERAGES,10860.0,25.08,86.89,433,0.7314,3.46451355661882,A,379.34,554.9,High Risk
44,1958216,BEVERAGES,23886.0,41.11,60.91,581,0.9814,1.481634638774021,A,265.92,553.7,High Risk
45,554048,GROCERY I,11236.0,19.21,95.61,585,0.9882,4.977095262883914,A,417.39,551.84,High Risk
44,1696029,PRODUCE,27989.732,47.6,47.69,588,0.9932,1.001890756302521,A,208.19,541.4,High Risk
45,2028898,BEVERAGES,6216.0,26.23,81.88,237,0.4003,3.121616469691193,A,357.44,541.04,High Risk
45,1958181,BEVERAGES,21902.0,37.19,63.75,589,0.9949,1.714170475934391,A,278.31,538.61,High Risk
44,724498,GROCERY I,24622.0,41.73,55.44,590,0.9966,1.3285406182602444,A,242.04,534.17,High Risk
25,2006812,BEVERAGES,12516.0,44.86,48.5,279,0.4713,1.0811413285777975,A,211.72,525.74,High Risk
44,862454,GROCERY I,26592.0,45.07,47.81,590,0.9966,1.0607943199467496,A,208.73,524.23,High Risk
47,165594,GROCERY I,16205.0,28.83,73.72,562,0.9493,2.557058619493583,A,321.82,523.66,High Risk
44,1157329,GROCERY I,15215.0,25.88,76.43,588,0.9932,2.9532457496136018,A,333.65,514.78,High Risk
45,716250,BEVERAGES,21856.0,39.45,54.13,554,0.9358,1.3721166032953105,A,236.3,512.46,High Risk
44,1980755,BEVERAGES,10101.0,38.85,54.36,260,0.4392,1.399227799227799,A,237.33,509.28,High Risk
47,913102,BEVERAGES,16175.0,30.01,67.25,539,0.9105,2.2409196934355213,A,293.6,503.66,High Risk
44,907684,BEVERAGES,15030.0,26.09,73.3,576,0.973,2.8095055576849366,A,319.99,502.64,High Risk
44,841842,GROCERY I,18372.0,31.3,64.68,587,0.9916,2.066453674121406,A,282.35,501.43,High Risk
47,1930967,GROCERY I,21065.0,37.82,53.99,557,0.9409,1.4275515600211528,A,235.69,500.42,High Risk
45,724498,GROCERY I,20679.0,35.9,55.35,576,0.973,1.541782729805014,A,241.65,492.96,High Risk
47,724498,GROCERY I,19034.0,32.59,59.92,584,0.9865,1.8386007977907333,A,261.57,489.71,High Risk
47,1964738,BEVERAGES,11229.0,26.93,68.84,417,0.7044,2.5562569624953584,A,300.52,489.02,High Risk
47,1166474,BEVERAGES,23892.0,40.63,46.77,588,0.9932,1.1511198621708099,A,204.15,488.58,High Risk
49,414750,GROCERY I,22580.0,38.53,49.35,586,0.9899,1.2808201401505321,A,215.44,485.17,High Risk
44,1909699,GROCERY I,18301.0,31.61,59.5,579,0.978,1.8823157228725087,A,259.73,480.99,High Risk
45,1047793,BEVERAGES,5146.0,39.89,43.54,129,0.2179,1.0915016294810729,A,190.09,469.33,High Risk
25,770463,BEVERAGES,13930.0,34.4,51.46,405,0.6841,1.4959302325581396,A,224.65,465.41,High Risk
49,1047698,BEVERAGES,7884.0,16.81,78.92,469,0.7922,4.694824509220703,A,344.51,462.18,High Risk
25,671039,BEVERAGES,18980.0,38.11,44.57,498,0.8412,1.169509315140383,A,194.57,461.36,High Risk
45,1074327,BEVERAGES,17721.0,39.64,41.99,447,0.7551,1.0592835519677095,A,183.33,460.84,High Risk
47,2006614,BEVERAGES,5140.0,21.24,71.33,242,0.4088,3.3582862523540493,A,311.37,460.05,High Risk
44,913102,BEVERAGES,10710.0,21.04,71.3,509,0.8598,3.3887832699619773,A,311.24,458.53,High Risk
45,1012788,GROCERY I,7911.0,13.43,83.36,589,0.9949,6.206999255398362,A,363.93,457.94,High Risk
44,1114566,BEVERAGES,13896.0,29.07,58.16,478,0.8074,2.000687994496044,A,253.9,457.39,High Risk
47,1958181,BEVERAGES,16668.0,28.35,58.6,588,0.9932,2.067019400352734,A,255.83,454.26,High Risk
45,346065,GROCERY I,13241.0,22.52,67.72,588,0.9932,3.0071047957371224,A,295.63,453.26,High Risk
44,1240160,BEVERAGES,18844.0,33.23,50.45,567,0.9578,1.5182064399638884,A,220.24,452.88,High Risk
45,269029,BEVERAGES,17383.0,37.22,43.68,467,0.7889,1.1735626007522837,A,190.67,451.23,High Risk
45,938566,GROCERY I,13574.0,23.57,65.52,576,0.973,2.779804836656767,A,286.03,450.99,High Risk
45,1463807,BEVERAGES,6811.0,11.7,84.12,582,0.9831,7.189743589743591,A,367.24,449.16,High Risk
47,938574,GROCERY I,19657.0,33.72,48.18,583,0.9848,1.4288256227758007,A,210.34,446.36,High Risk
44,1066901,BEVERAGES,16463.0,29.5,54.92,558,0.9426,1.8616949152542372,A,239.74,446.27,High Risk
45,2019084,GROCERY I,8416.0,28.05,57.13,300,0.5068,2.0367201426024955,A,249.39,445.76,High Risk
45,1463808,BEVERAGES,5263.0,9.36,86.25,562,0.9493,9.21474358974359,A,376.54,442.09,High Risk
45,404336,GROCERY I,9363.0,15.9,75.65,589,0.9949,4.757861635220126,A,330.23,441.51,High Risk
25,368628,BEVERAGES,12962.0,35.61,43.15,364,0.6149,1.2117382757652344,A,188.37,437.64,High Risk
47,215331,GROCERY I,19160.0,33.26,46.47,576,0.973,1.3971737823211066,A,202.86,435.71,High Risk
45,1066901,BEVERAGES,17430.0,31.07,49.83,561,0.9476,1.603797875764403,A,217.51,435.0,High Risk
45,913102,BEVERAGES,12496.0,23.85,61.36,524,0.8851,2.572746331236897,A,267.86,434.79,High Risk
47,2010568,GROCERY I,19854.0,35.84,42.01,554,0.9358,1.1721540178571428,A,183.41,434.27,High Risk
49,559870,GROCERY I,22014.0,37.57,38.87,586,0.9899,1.0346020761245673,A,169.69,432.65,High Risk
44,1964810,BEVERAGES,12823.0,28.82,52.72,445,0.7517,1.8292852185981956,A,230.16,431.87,High Risk
45,841842,GROCERY I,12091.0,21.03,64.74,575,0.9713,3.0784593437945786,A,282.63,429.82,High Risk
45,164036,GROCERY I,8629.0,14.63,74.98,590,0.9966,5.125085440874915,A,327.34,429.72,High Risk
47,2005143,BEVERAGES,6231.0,24.34,59.16,256,0.4324,2.430566967953985,A,258.27,428.64,High Risk
44,1958181,BEVERAGES,16258.0,27.7,53.33,587,0.9916,1.9252707581227437,A,232.79,426.67,High Risk
49,724498,GROCERY I,16999.0,29.11,50.51,584,0.9865,1.7351425626932326,A,220.51,424.26,High Risk
47,223136,GROCERY I,19994.0,35.14,40.56,569,0.9611,1.1542401821286283,A,177.06,423.04,High Risk
25,906979,BEVERAGES,17514.0,36.34,37.96,482,0.8142,1.0445789763346174,A,165.71,420.06,High Risk
47,1066901,BEVERAGES,16185.0,29.16,49.12,555,0.9375,1.6844993141289437,A,214.42,418.55,High Risk
44,2013931,BEVERAGES,7545.0,36.1,37.6,209,0.353,1.0415512465373962,A,164.13,416.83,High Risk
44,268664,GROCERY I,19921.0,35.32,38.68,564,0.9527,1.0951302378255945,A,168.84,416.09,High Risk
47,1047772,BEVERAGES,13795.0,25.13,55.01,549,0.9274,2.189017111022682,A,240.16,416.06,High Risk
47,884878,BEVERAGES,19699.0,34.93,38.69,564,0.9527,1.1076438591468651,A,168.91,413.4,High Risk
47,1964804,BEVERAGES,9156.0,21.0,60.56,436,0.7365,2.883809523809524,A,264.38,411.38,High Risk
45,839362,BEVERAGES,18414.0,31.26,44.05,589,0.9949,1.409149072296865,A,192.29,411.14,High Risk
44,1463510,BEVERAGES,19277.0,35.37,36.51,545,0.9206,1.0322307039864291,A,159.4,407.0,High Risk
47,2005047,BEVERAGES,7245.0,23.22,55.85,312,0.527,2.4052540913006033,A,243.81,406.35,High Risk
47,903284,POULTRY,13085.086,34.08,37.59,384,0.6486,1.102992957746479,A,164.09,402.62,High Risk
47,1463507,BEVERAGES,16417.0,31.69,41.19,518,0.875,1.2997791101293783,A,179.83,401.68,High Risk
49,1066901,BEVERAGES,12686.0,24.03,53.37,528,0.8919,2.2209737827715355,A,232.98,401.16,High Risk
45,507641,DAIRY,12096.0,20.5,58.23,590,0.9966,2.8404878048780486,A,254.18,397.7,High Risk
45,1146785,GROCERY I,10093.0,22.78,54.49,443,0.7483,2.3920105355575068,A,237.88,397.36,High Risk
45,2028810,BEVERAGES,7936.0,33.49,36.91,237,0.4003,1.1021200358315915,A,161.11,395.51,High Risk
47,2002465,CLEANING,6560.0,18.27,60.94,359,0.6064,3.3355227148330595,A,266.03,393.95,High Risk
45,2046916,BEVERAGES,5720.0,32.13,38.08,178,0.3007,1.1851851851851851,A,166.24,391.18,High Risk
44,1961595,GROCERY I,17252.0,31.25,39.44,552,0.9324,1.2620799999999999,A,172.18,390.95,High Risk
44,938574,GROCERY I,19362.0,32.82,36.89,590,0.9966,1.124009750152346,A,161.03,390.75,High Risk
47,2028898,BEVERAGES,5574.0,29.34,42.37,190,0.3209,1.444103612815269,A,184.97,390.33,High Risk
45,1930967,GROCERY I,16507.0,28.31,43.14,583,0.9848,1.5238431649593784,A,188.31,386.51,High Risk
47,346065,GROCERY I,15961.0,27.1,44.91,589,0.9949,1.6571955719557194,A,196.03,385.72,High Risk
45,219150,BEVERAGES,12346.0,33.64,34.19,367,0.6199,1.0163495838287753,A,149.27,384.75,High Risk
47,1961595,GROCERY I,10454.0,19.58,55.89,534,0.902,2.8544433094994894,A,244.0,381.04,High Risk
49,1964810,BEVERAGES,12291.0,27.93,42.01,440,0.7432,1.5041174364482635,A,183.39,378.93,High Risk
45,153267,GROCERY I,16016.0,27.15,43.16,590,0.9966,1.5896869244935543,A,188.42,378.44,High Risk
44,2040862,BEVERAGES,7213.0,32.35,34.71,223,0.3767,1.072952086553323,A,151.54,377.95,High Risk
44,1464910,BEVERAGES,13728.0,27.51,42.45,499,0.8429,1.5430752453653218,A,185.33,377.91,High Risk
45,1464218,BEVERAGES,16962.0,29.19,38.7,581,0.9814,1.3257965056526209,A,168.96,373.32,High Risk
47,315277,GROCERY I,14334.0,24.76,45.68,579,0.978,1.8449111470113084,A,199.41,372.7,High Risk
44,1430041,BEVERAGES,15907.0,28.2,39.89,564,0.9527,1.4145390070921986,A,174.12,371.55,High Risk
44,402174,GROCERY I,17870.0,30.7,35.86,582,0.9831,1.1680781758957655,A,156.56,371.5,High Risk
47,310671,GROCERY I,18814.0,32.11,33.54,586,0.9899,1.0445344129554657,A,146.44,371.18,High Risk
25,269029,BEVERAGES,9428.0,24.36,45.66,387,0.6537,1.874384236453202,A,199.33,369.87,High Risk
45,1047772,BEVERAGES,13623.0,24.11,45.53,565,0.9544,1.8884280381584406,A,198.78,367.56,High Risk
45,1964810,BEVERAGES,12052.0,27.27,39.29,442,0.7466,1.4407774110744407,A,171.52,362.39,High Risk
25,2042436,BEVERAGES,5615.0,31.72,32.05,177,0.299,1.010403530895334,A,139.89,361.96,High Risk
25,2000482,BEVERAGES,9435.0,30.83,33.31,306,0.5169,1.080441128770678,A,145.4,361.23,High Risk
45,1157462,GROCERY I,15094.0,25.58,41.69,590,0.9966,1.6297888975762314,A,182.0,361.08,High Risk
47,1047773,BEVERAGES,8152.0,15.32,57.98,532,0.8986,3.7845953002610964,A,253.09,360.36,High Risk
47,513853,CLEANING,7213.0,15.12,57.41,477,0.8057,3.796957671957672,A,250.61,356.46,High Risk
45,871421,BEVERAGES,6768.0,11.55,62.91,586,0.9899,5.4467532467532465,A,274.65,355.5,High Risk
44,346065,GROCERY I,11893.0,20.26,47.53,587,0.9916,2.3460019743336624,A,207.51,349.34,High Risk
44,1937608,GROCERY I,16191.0,27.49,35.53,589,0.9949,1.2924699890869409,A,155.12,347.54,High Risk
47,805310,BEVERAGES,12746.0,30.2,30.8,422,0.7128,1.0198675496688743,A,134.45,345.88,High Risk
47,365140,GROCERY I,17172.0,29.35,32.15,585,0.9882,1.0954003407155024,A,140.36,345.84,High Risk
45,1964738,BEVERAGES,10729.0,25.13,38.91,427,0.7213,1.5483485873458018,A,169.85,345.73,High Risk
47,1971255,BEVERAGES,13893.0,29.0,31.39,479,0.8091,1.0824137931034483,A,137.02,340.05,High Risk
44,1464094,BEVERAGES,6241.0,13.22,56.12,472,0.7973,4.245083207261724,A,245.0,337.55,High Risk
47,115893,GROCERY I,12960.0,23.02,39.57,563,0.951,1.7189400521285838,A,172.73,333.86,High Risk
44,1964738,BEVERAGES,9642.0,22.42,40.38,430,0.7264,1.8010704727921498,A,176.28,333.24,High Risk
44,358231,CLEANING,12294.0,20.91,42.35,588,0.9932,2.025346724055476,A,184.89,331.25,High Risk
25,1037857,BEVERAGES,12481.0,27.74,31.35,450,0.7601,1.13013698630137,A,136.85,331.0,High Risk
44,1118775,GROCERY I,10357.0,17.92,47.08,578,0.9764,2.6272321428571423,A,205.54,330.97,High Risk
44,115611,GROCERY I,11592.0,26.41,33.02,439,0.7416,1.2502839833396442,A,144.13,328.97,High Risk
45,959502,CLEANING,16038.0,27.75,30.86,578,0.9764,1.112072072072072,A,134.7,328.94,High Risk
47,877514,CLEANING,14010.0,23.83,36.53,588,0.9932,1.5329416701636593,A,159.49,326.28,High Risk
44,1964850,BEVERAGES,16059.0,28.42,29.13,565,0.9544,1.0249824067558058,A,127.18,326.14,High Risk
49,1968368,DAIRY,13479.0,25.72,33.16,524,0.8851,1.2892690513219285,A,144.78,324.84,High Risk
44,1981370,GROCERY I,6189.0,21.05,40.44,294,0.4966,1.9211401425178145,A,176.56,323.92,High Risk
45,1660271,PRODUCE,16279.0,27.64,29.38,589,0.9949,1.0629522431259044,A,128.24,321.71,High Risk
44,839362,BEVERAGES,11588.0,20.37,40.79,569,0.9611,2.002454590083456,A,178.06,320.62,High Risk
47,1146785,GROCERY I,7949.0,19.77,41.2,402,0.6791,2.0839656044511887,A,179.85,318.26,High Risk
45,1464029,BEVERAGES,9795.0,18.98,42.14,516,0.8716,2.220231822971549,A,183.94,316.82,High Risk
47,716250,BEVERAGES,12445.0,23.31,35.13,534,0.902,1.5070785070785073,A,153.34,316.48,High Risk
47,1974834,BEVERAGES,5148.0,13.27,50.76,388,0.6554,3.8251695553880936,A,221.6,314.48,High Risk
47,769314,CLEANING,13854.0,23.6,33.99,587,0.9916,1.4402542372881355,A,148.37,313.58,High Risk
44,1146785,GROCERY I,6844.0,15.84,45.95,432,0.7297,2.9008838383838387,A,200.58,311.48,High Risk
44,1976342,GROCERY I,5898.0,13.19,50.18,447,0.7551,3.8043972706595905,A,219.07,311.43,High Risk
44,1930967,GROCERY I,14284.0,24.38,31.99,586,0.9899,1.31214109926169,A,139.67,310.29,High Risk
45,2009827,GROCERY I,5976.0,13.87,48.77,431,0.728,3.5162220620043265,A,212.92,309.98,High Risk
45,502227,GROCERY I,12953.0,22.1,35.13,586,0.9899,1.5895927601809954,A,153.37,308.09,High Risk
45,2010049,BEVERAGES,5114.0,21.31,36.11,240,0.4054,1.6945096198967622,A,157.65,306.81,High Risk
45,215352,GROCERY I,14981.0,25.83,28.79,580,0.9797,1.1145954316686024,A,125.68,306.48,High Risk
47,1464027,BEVERAGES,7955.0,17.14,41.93,464,0.7838,2.4463243873978997,A,183.06,303.07,High Risk
45,1149069,PRODUCE,15444.0,26.31,27.06,587,0.9916,1.0285062713797035,A,118.11,302.28,High Risk
49,2006928,BEVERAGES,8131.0,24.06,30.57,338,0.5709,1.270573566084788,A,133.46,301.86,High Risk
47,1660271,PRODUCE,12695.0,23.0,32.16,552,0.9324,1.3982608695652172,A,140.37,301.36,High Risk
44,268676,GROCERY I,13707.0,23.76,30.8,577,0.9747,1.2962962962962963,A,134.44,300.73,High Risk
47,876663,GROCERY I,12931.0,22.14,33.04,584,0.9865,1.4923215898825655,A,144.23,299.22,High Risk
47,1971365,BEVERAGES,6232.0,14.66,45.0,425,0.7179,3.069577080491132,A,196.45,299.1,High Risk
25,219150,BEVERAGES,6003.0,21.36,34.22,281,0.4747,1.602059925093633,A,149.38,298.92,High Risk
44,2048362,GROCERY I,5169.0,20.35,35.68,254,0.4291,1.7533169533169533,A,155.77,298.22,High Risk
45,1975512,GROCERY I,12403.0,21.06,34.37,589,0.9949,1.6320037986704654,A,150.04,297.44,High Risk
44,1243805,BEVERAGES,7097.0,14.82,44.27,479,0.8091,2.9871794871794872,A,193.28,296.99,High Risk
47,165550,BEVERAGES,10294.0,17.54,39.47,587,0.9916,2.250285062713797,A,172.29,295.05,High Risk
25,1695830,PRODUCE,13277.758,25.83,26.14,514,0.8682,1.0120015485869145,A,114.11,294.93,High Risk
45,839363,BEVERAGES,14266.0,24.22,28.53,589,0.9949,1.1779521056977706,A,124.55,294.09,High Risk
45,1971255,BEVERAGES,10785.0,23.86,29.02,452,0.7635,1.2162615255658005,A,126.69,293.72,High Risk
47,1958245,BEVERAGES,14860.0,25.45,26.31,584,0.9865,1.0337917485265227,A,114.88,292.99,High Risk
45,1091367,GROCERY I,14365.0,24.56,27.49,585,0.9882,1.1192996742671009,A,119.99,291.88,High Risk
45,938574,GROCERY I,14679.0,25.14,26.39,584,0.9865,1.0497215592680986,A,115.23,291.17,High Risk
45,402174,GROCERY I,12482.0,21.63,31.89,577,0.9747,1.4743411927877947,A,139.21,290.64,High Risk
47,1914279,BEVERAGES,9440.0,16.22,40.33,582,0.9831,2.4864364981504314,A,176.04,289.58,High Risk
45,1314409,GROCERY I,13243.0,22.45,29.74,590,0.9966,1.3247216035634743,A,129.85,286.97,High Risk
49,1958181,BEVERAGES,11490.0,19.61,34.06,586,0.9899,1.7368689444161145,A,148.68,285.93,High Risk
45,119141,GROCERY I,6472.0,23.79,27.34,272,0.4595,1.1492223623371165,A,119.34,285.9,High Risk
47,868529,GROCERY I,14538.0,24.64,25.91,590,0.9966,1.0515422077922079,A,113.09,285.58,High Risk
44,1157462,GROCERY I,13580.0,23.58,27.19,576,0.973,1.1530958439355388,A,118.69,283.73,High Risk
